keyword,word
믿음,그들이 이르되 주 예수를 믿으라 그리하면 너와 네 집이 구원을 얻으리라
믿음,예수께서 이르시되 가라 네 믿음이 너를 구원하였다 그가 곧 보게 되어 예수를 따라가니라
믿음,우리가 들은 복음도 그들과 같았으나 들은 말씀이 그들에게 유익하지 못한 것은 그들이 믿음으로 결합하지 않았기 때문이다
믿음,성경이 무엇을 말하느냐 아브라함이 하나님을 믿으니 그것이 그에게 의로 여겨졌느니라
믿음,네가 하나님은 한 분이신 것을 믿는도다 잘 하였도다 그러나 귀신들도 믿고 떨지니라
믿음,일을 하지 아니하고 오직 하나님을 믿는 자에게는 그의 믿음을 의로 여기시느니라
믿음,제자들의 마음을 굳건하게 하고 믿음에 머물러 있으라 권하며 우리가 하나님의 나라에 들어가려면 많은 환난을 겪어야 한다고 말하였다
믿음,여호와는 나의 반석이요 나의 요새요 나를 구원하는 자요 나의 하나님이시요 내가 그를 믿는다
믿음,끝까지 견디는 자는 구원을 얻으리라
믿음,또 어떤 이에게는 동일한 성령으로 믿음을 다른 이에게는 그 동일한 성령으로 병 고치는 은사를 주셨고
믿음,우리가 구원을 얻었으니 이는 우리가 보지 못하는 것을 기다리는 것이기 때문이다
믿음,우리가 마음의 정결함과 온전한 믿음으로 하나님께 나아가자
믿음,예수께서 이르시되 내가 네게 말하지 아니하였느냐 네가 믿으면 하나님의 영광을 보리라
믿음,게으르지 아니하고 믿음과 인내로 약속을 상속받는 자가 되도록 하라
믿음,그들이 보낸 사람을 예수께 데려오니 예수께서 그들의 믿음을 보시고 중풍병자를 고쳐주셨다
믿음,예수께서 그들의 믿음을 보시고 중풍병자에게 말씀하시되 자 아들아 네 죄가 사해졌느니라
믿음,믿는 사람들이 다 함께 있어 모든 것을 공동으로 사용하였고
믿음,예수께서 이르시되 너는 나를 본 고로 믿느냐 보지 못하고 믿는 자들이 복되도다
믿음,너희가 믿음 안에 있는가 너희 자신을 시험하고 너희 자신을 확증하라
믿음,그들이 의의를 구하되 믿음으로 얻지 않고 행위로 얻으려 했기 때문이다
믿음,그가 보았을 때 사람이 나무처럼 보이는 것을 보았다
믿음,그러므로 자기를 힘입어 하나님께 나아가는 자들을 온전히 구원하시며 그들은 항상 그에게 나아가며 믿음을 가지고 구할 수 있다
믿음,그러므로 누구든지 나를 믿고 고백하는 자는 내가 하늘의 아버지 앞에서 고백할 것이다
믿음,우리가 이제 그의 피로 의롭다 하심을 받았으니 더욱 그로 말미암아 진노를 면할 것이다
믿음,오직 이것을 기록함은 너희가 예수께서 그리스도요 하나님의 아들인 것을 믿게 하려 함이요 그로 인하여 생명을 얻으려 함이니라
믿음,우리가 다 한 성령으로 세례를 받아 한 몸이 되었고 한 성령을 마시게 되었느니라
믿음,믿음의 주요 또 온전하게 하시는 예수를 바라보자
믿음,예수께서 이르시되 네 말이 옳다 가라 네 믿음이 너를 구원하였다
믿음,여호와를 믿고 선을 행하라 땅에 거주하며 성실을 먹을 것이다
믿음,이런 확신을 가진 우리가 그리스도로 말미암아 하나님을 믿는 자로서 나아간다
믿음,내가 두려워할 때에 나는 주를 의지하리이다
믿음,여호와를 기다리는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요 달려가도 피곤하지 아니하고 걸어가도 곤비하지 아니하리로다
믿음,그러므로 내 사랑하는 형제들아 견고하고 흔들리지 말고 주의 일에 항상 넘치게 하라
믿음,내가 정직하게 배우기를 원하노니 주의 법을 가르쳐 주소서
믿음,주께서는 완전한 평안을 주시리니 그의 마음이 주를 믿고 의지하는 자에게 평안을 주시리로다
믿음,소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 넘치게 하시기를 원하노라
믿음,내가 진실로 진실로 너희에게 이르노니 내 말을 듣고 나 보내신 이를 믿는 자는 영생을 얻었고 심판에 이르지 아니하며 사망에서 생명으로 옮겨졌느니라
믿음,여호와는 나의 빛이요 나의 구원이시니 내가 누구를 두려워하리요 여호와는 내 생명의 강하시니 내가 누구를 무서워하리요
믿음,성경에 기록된 바 내가 믿었으므로 말하였노라 함과 같이 우리가 같은 믿음을 가지고 있으므로 또한 말하노니
믿음,예수께서 들으시고 놀랍게 여기시며 따르는 자들에게 이르시되 진실로 너희에게 이르노니 내가 이스라엘 중 아무에게도 이만한 믿음을 보지 못하였노라
믿음,믿음의 주요 또 온전하게 하시는 예수를 바라보자
믿음,그들이 교회마다 장로들을 세우고 기도와 금식으로 그들을 하나님께 부탁하였으며
믿음,하나님의 의가 예수 그리스도를 믿는 믿음으로 모든 믿는 자에게 미치나니 차별이 없느니라
믿음,믿음이 그의 행위와 함께 일하고 행위로 믿음이 온전하게 되었느니라
믿음,내가 너희에게 말하노니 무엇이든지 기도하고 구하는 것은 이미 받은 줄로 믿으라 그리하면 너희에게 그대로 되리라
믿음,우리는 믿음으로 행하고 보는 것으로 행하지 아니하노라
믿음,내가 진실로 진실로 너희에게 이르노니 나를 믿는 자는 내가 하는 일을 그도 할 것이요 또한 그보다 큰 일을 하리니 이는 내가 아버지께로 가기 때문이라
믿음,예수께서 그들에게 이르시되 내가 능히 이 일을 할 수 있음을 믿느냐 그들이 말하되 주여 믿나이다
믿음,아브라함은 하나님의 부르심을 따라 믿음으로 갈 바를 알지 못하고 떠났으니 하나님께서 그에게 약속하신 성을 그가 얻기 위해 떠난 것이다
믿음,우리가 보지 못하는 것들을 바라보며 믿음을 잃지 않도록 하자
믿음,그러므로 믿음으로 인하여 의롭게 된 자들이 하나님의 약속을 잃지 않도록 하자
믿음,내 영혼아 어찌하여 낙심하며 어찌하여 내 속에서 불안해하는가 너는 하나님을 바라라
믿음,예수께서 그에게 이르시되 두려워하지 말고 믿기만 하라
믿음,나를 믿는 자는 성경에 이른 바와 같이 그 배에서 생수의 강이 흘러나리라
믿음,우리가 그에게 담대히 나아가며 믿음으로 하나님께 구할 수 있게 된 것을 믿으라
믿음,여호와를 신뢰하는 것이 사람을 신뢰하는 것보다 낫다
믿음,아들을 믿는 자는 영생을 얻고 아들에게 순종하지 않는 자는 생명을 보지 못하고 하나님의 진노가 그 위에 머물러 있으리라
믿음,믿음의 주요 또 온전하게 하시는 예수를 바라보자
사랑,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라
사랑,사랑은 오래 참고 사랑은 온유하며 시기하지 아니하며 사랑은 자랑하지 아니하며 교만하지 아니하며 무례히 행하지 아니하며 자기의 유익을 구하지 아니하며 성내지 아니하며 악한 일을 생각하지 아니하며 불의를 기뻐하지 아니하며 진리와 함께 기뻐하며 모든 것을 참으며 모든 것을 믿으며 모든 것을 바라며 모든 것을 견디느니라
사랑,사랑하는 자들아 우리가 서로 사랑하자 사랑은 하나님께 속한 것이니 사랑하는 자마다 하나님께서 나신 자요 하나님을 아는 자니라 사랑하지 아니하는 자는 하나님을 알지 못하나니 이는 하나님은 사랑이시기 때문이라
사랑,우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에게 대한 자기 사랑을 확증하셨느니라
사랑,그런즉 믿음 소망 사랑 이 세 가지는 항상 있을 것인데 그 중에 제일은 사랑이라
사랑,예수께서 이르시되 네 마음을 다하고 목숨을 다하고 뜻을 다하여 주 너의 하나님을 사랑하라 이것이 크고 첫째 되는 계명이요 둘째는 네 이웃을 네 자신과 같이 사랑하라 하신 것이니
사랑,내가 너희에게 새 계명을 주노니 서로 사랑하라 내가 너희를 사랑한 것 같이 너희도 서로 사랑하라 이것으로 모든 사람이 너희가 내 제자인 줄 알리라
사랑,그리스도를 사랑하신 것 같이 사랑 안에서 행하되 그리스도께서 우리를 사랑하시고 우리를 위하여 자신을 하나님께 드리시어 향기로운 제물과 희생이 되게 하셨느니라
사랑,너희 모든 일을 사랑으로 행하라
사랑,우리가 사랑함은 그가 먼저 우리를 사랑하셨음이라
사랑,사람의 친구를 위하여 자기 목숨을 버리면 이보다 더 큰 사랑이 없나니
사랑,온 율법은 네 이웃을 네 자신과 같이 사랑하라 하신 한 말씀에 이루어졌느니라
사랑,그러나 나는 너희에게 이르노니 너희 원수를 사랑하며 너희를 박해하는 자를 위하여 기도하라
사랑,사랑은 이웃에게 악을 행하지 아니하나니 그러므로 사랑은 율법의 완성이니라
사랑,우리가 사랑을 알고 그를 위하여 목숨을 버리니 이로써 우리가 사랑을 알게 되었느니라
사랑,무엇보다도 뜨겁게 서로 사랑할지니 사랑은 허다한 죄를 덮느니라
사랑,우리가 알고 믿는 바는 하나님이 우리를 사랑하신 것이라 하나님은 사랑이시라
사랑,형제 사랑이 계속되게 하라
사랑,그리스도의 사랑이 우리를 강권하시는도다 우리가 생각하기를 하나님의 아들이 모든 사람을 위하여 죽으셨으니 그들이 이제는 자기 자신을 위해 살지 않고 자기 대신 죽으시고 다시 사신 이를 위해 살게 되었느니라
사랑,높음이나 깊음이나 다른 어떤 피조물도 우리를 우리 주 그리스도 예수 안에 있는 하나님의 사랑에서 끊을 수 없느니라
사랑,사랑은 언제까지든지 떨어지지 아니하나 예언은 폐하고 방언도 그치고 지식도 폐할 것이니라
사랑,보라 아버지께서 어떠한 사랑을 우리에게 주사 하나님의 자녀라 일컬음을 받게 하셨는가 그러므로 세상이 우리를 알지 못하는 것은 그를 알지 못하기 때문이라
사랑,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다
사랑,네 마음을 다하고 목숨을 다하고 뜻을 다하여 주 너의 하나님을 사랑하라 이는 첫째 되는 계명이요 둘째는 네 이웃을 네 자신과 같이 사랑하라 하신 것이니 이 두 계명이 온 율법과 선지자의 강령이니라
사랑,내가 예언하는 능력도 있고 모든 비밀을 알고 모든 지식이 있다고 해도 사랑이 없으면 나는 아무것도 아니요
사랑,나의 계명을 가지고 지키는 자가 나를 사랑하는 자니 나를 사랑하는 자는 내 아버지께 사랑을 받게 될 것이요 나도 그를 사랑하고 그에게 나를 나타내리라
사랑,너희 중에 큰 자는 너희를 섬기는 자가 되어야 하리라 누구든지 자기를 높이는 자는 낮아지고 자기를 낮추는 자는 높아지리라
사랑,사랑에는 거짓이 없나니 악을 미워하고 선에 속하라
사랑,모든 겸손과 온유로 오래 참음으로 사랑 가운데서 서로 용납하라
사랑,주의 인자하심이 생명보다 낫고 내 입술이 주를 찬양하리이다
사랑,그 때에 베드로가 예수께 나아가 이르되 주여 형제가 내게 죄를 범하면 몇 번이나 용서해야 하리이까 일곱 번까지 하리이까 예수께서 이르시되 내가 너에게 이르노니 일곱 번뿐 아니라 일흔 번을 일곱 번까지라도 할지니라
사랑,순수함과 지식과 오래 참음과 친절과 성령과 거짓이 없는 사랑으로
사랑,사랑은 여기 있으니 우리가 하나님을 사랑한 것이 아니라 하나님이 우리를 사랑하시고 우리의 죄를 속하기 위하여 그 아들을 보내셨음이라
사랑,유월절 전에 예수께서 자기의 때가 이르렀음을 아시고 세상에 있는 자기 사람들을 끝까지 사랑하시되
사랑,그러나 만일 누구든지 하나님을 사랑하면 그 사람은 하나님께로부터 알음을 받았느니라
사랑,그러므로 무엇이든지 남에게 대접을 받고자 하는 대로 너희도 남을 대접하라 이것이 율법과 선지자들의 가르침이니라
사랑,우리가 서로 돌아보아 사랑과 선한 일을 격려하며
사랑,무리가 그에게 고통을 당하고 수고하며 기진한 양처럼 목자 없는 양을 보듯 하시고
사랑,자녀들아 우리가 말과 혀로만 사랑하지 말고 행함과 진실함으로 사랑하자
사랑,기록된 바 눈이 보지 못하고 귀가 듣지 못하고 사람의 마음에 생각지 못한 것을 하나님이 자기를 사랑하는 자들에게 예비하셨다 하였으니
사랑,아버지께서 나를 사랑하신 것 같이 나도 너희를 사랑하였으니 내 사랑 안에 거하라
사랑,살인하지 말라 간음하지 말라 도적질하지 말라 거짓 증거하지 말라 네 이웃을 사랑하라 하신 계명이 다 사랑 안에 포함되어 있느니라
사랑,사랑하는 자들아 하나님이 이같이 우리를 사랑하셨은즉 우리도 서로 사랑하는 것이 마땅하도다
사랑,남편들아 아내를 사랑하되 그리스도께서 교회를 사랑하시고 교회를 위하여 자신을 주심 같이 하라
사랑,사랑은 오래 참고 사랑은 온유하며 시기하지 아니하며 사랑은 자랑하지 아니하며 교만하지 아니하며
사랑,왕이 대답하여 이르시되 내가 진실로 너희에게 이르노니 너희가 여기 내 형제 중 지극히 작은 자 하나에게 한 것이 곧 내게 한 것이니라
사랑,내가 사람의 방언과 천사의 말을 할지라도 사랑이 없으면 나는 울리는 구리나 울리는 꽹과리가 되고
사랑,그러나 나는 너희에게 이르노니 너희 원수를 사랑하며 너희를 박해하는 자를 위해 기도하라 그리하면 너희가 하늘에 계신 너희 아버지의 아들이 되리니
사랑,산들이 떠나고 언덕들이 흔들려도 내 인자는 너를 떠나지 아니하며 내 평화의 언약은 흔들리지 아니하리라 여호와께서 말씀하셨느니라
사랑,사랑은 모든 것을 견디며 모든 것을 믿으며 모든 것을 바라며 모든 것을 참고
사랑,아버지께서 너희를 사랑하신 것은 내가 너희에게 이 말을 하였기 때문이라
사랑,둘째는 네 이웃을 네 자신과 같이 사랑하라 하신 것이니
사랑,누가 우리를 그리스도의 사랑에서 끊으리요 환난이나 궁핍이나 위험이나 칼이나 죽음이나 피빡이나 전쟁이나 핍박이나
사랑,이것이 나의 계명이니 내가 너희를 사랑한 것 같이 너희도 서로 사랑하라
사랑,순결과 지식과 오래 참음과 친절과 성령과 사랑의 진실로
사랑,형제 사랑이 계속되게 하라
사랑,평화를 만드는 자는 복이 있나니 그들이 하나님의 아들이라 일컬음을 받을 것임이라
사랑,사랑하는 자들아 우리가 서로 사랑하자 사랑은 하나님께 속한 것이니
사랑,너희 모든 일을 사랑으로 행하라
사랑,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다
사랑,내가 너희에게 새 계명을 주노니 서로 사랑하라
사랑,네 마음을 다하고 목숨을 다하고 뜻을 다하여 주 너의 하나님을 사랑하라
사랑,우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에게 대한 자기 사랑을 확증하셨느니라
사랑,사랑은 오래 참고 사랑은 온유하며 시기하지 아니하며
사랑,사람의 친구를 위하여 자기 목숨을 버리면 이보다 더 큰 사랑이 없나니
사랑,온 율법은 네 이웃을 네 자신과 같이 사랑하라 하신 한 말씀에 이루어졌느니라
사랑,그러나 나는 너희에게 이르노니 너희 원수를 사랑하며 너희를 박해하는 자를 위하여 기도하라
사랑,사랑은 이웃에게 악을 행하지 아니하나니 그러므로 사랑은 율법의 완성이니라
사랑,우리가 사랑을 알고 그를 위하여 목숨을 버리니 이로써 우리가 사랑을 알게 되었느니라
사랑,무엇보다도 뜨겁게 서로 사랑할지니 사랑은 허다한 죄를 덮느니라
사랑,우리가 알고 믿는 바는 하나님이 우리를 사랑하신 것이라 하나님은 사랑이시라
사랑,형제 사랑이 계속되게 하라
사랑,그리스도의 사랑이 우리를 강권하시는도다
사랑,높음이나 깊음이나 다른 어떤 피조물도 우리를 우리 주 그리스도 예수 안에 있는 하나님의 사랑에서 끊을 수 없느니라
사랑,너희 모든 일을 사랑으로 행하라
사랑,사랑은 여기 있으니 우리가 하나님을 사랑한 것이 아니라 하나님이 우리를 사랑하시고 우리의 죄를 속하기 위하여 그 아들을 보내셨음이라
사랑,유월절 전에 예수께서 자기의 때가 이르렀음을 아시고 세상에 있는 자기 사람들을 끝까지 사랑하시되
사랑,그러나 만일 누구든지 하나님을 사랑하면 그 사람은 하나님께로부터 알음을 받았느니라
사랑,그러므로 무엇이든지 남에게 대접을 받고자 하는 대로 너희도 남을 대접하라
사랑,우리가 서로 돌아보아 사랑과 선한 일을 격려하며
사랑,무리가 그에게 고통을 당하고 수고하며 기진한 양처럼 목자 없는 양을 보듯 하시고
사랑,자녀들아 우리가 말과 혀로만 사랑하지 말고 행함과 진실함으로 사랑하자
사랑,기록된 바 눈이 보지 못하고 귀가 듣지 못하고 사람의 마음에 생각지 못한 것을 하나님이 자기를 사랑하는 자들에게 예비하셨다
사랑,아버지께서 나를 사랑하신 것 같이 나도 너희를 사랑하였으니 내 사랑 안에 거하라
사랑,살인하지 말라 간음하지 말라 도적질하지 말라 거짓 증거하지 말라 네 이웃을 사랑하라 하신 계명이 다 사랑 안에 포함되어 있느니라
사랑,사랑하는 자들아 하나님이 이같이 우리를 사랑하셨은즉 우리도 서로 사랑하는 것이 마땅하도다
사랑,남편들아 아내를 사랑하되 그리스도께서 교회를 사랑하시고 교회를 위하여 자신을 주심 같이 하라
사랑,내가 사람의 방언과 천사의 말을 할지라도 사랑이 없으면 나는 울리는 구리나 울리는 꽹과리가 되고
사랑,왕이 대답하여 이르시되 내가 진실로 너희에게 이르노니 너희가 여기 내 형제 중 지극히 작은 자 하나에게 한 것이 곧 내게 한 것이니라
사랑,사랑은 모든 것을 견디며 모든 것을 믿으며 모든 것을 바라며 모든 것을 참고
사랑,아버지께서 너희를 사랑하신 것은 내가 너희에게 이 말을 하였기 때문이라
사랑,둘째는 네 이웃을 네 자신과 같이 사랑하라 하신 것이니
사랑,누가 우리를 그리스도의 사랑에서 끊으리요 환난이나 궁핍이나 위험이나 칼이나 죽음이나 피빡이나 전쟁이나 핍박이나
사랑,이것이 나의 계명이니 내가 너희를 사랑한 것 같이 너희도 서로 사랑하라
사랑,순결과 지식과 오래 참음과 친절과 성령과 사랑의 진실로
사랑,형제 사랑이 계속되게 하라
사랑,평화를 만드는 자는 복이 있나니 그들이 하나님의 아들이라 일컬음을 받을 것임이라
사랑,사랑하는 자들아 우리가 서로 사랑하자 사랑은 하나님께 속한 것이니
사랑,너희 모든 일을 사랑으로 행하라
사랑,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다
소망,소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 넘치게 하시고 성령의 능력으로 소망이 넘치게 하시기를 원하노라
소망,우리가 이 소망을 가지고 영혼의 닻처럼 굳게 잡고 흔들리지 않게 되기를 원하노라 이는 우리에게 하나님 앞에서 확실한 소망을 주시기 때문이라
소망,소망은 부끄러움을 당하지 않게 하느니 이는 우리에게 주신 성령으로 말미암아 하나님의 사랑이 우리 마음에 부음이 되었기 때문이라
소망,여호와의 말씀이니라 내가 너희를 향한 계획을 내가 안다 그것은 재앙이 아니라 평안이요 너희에게 미래와 소망을 주려는 계획이니라
소망,내 영혼아 네가 어찌하여 낙심하며 어찌하여 내 속에서 불안해하는가 하나님을 바라라 내가 그를 다시 찬송하리니 그는 내 얼굴빛이요 내 하나님이시로다
소망,내가 여호와를 기다리며 내 영혼이 그의 말씀을 기다리며 내가 소망을 두고 기다리며
소망,우리가 소망을 두고 구원을 얻었으니 보이는 소망은 소망이 아니니라 사람이 보이는 것을 어찌 바라리요 만일 우리가 보지 못하는 것을 바라면 참으며 기다려야 할지니라
소망,그런즉 믿음 소망 사랑 이 세 가지는 항상 있을 것인데 그 중에 제일은 사랑이라
소망,주 여호와여 나는 어렸을 때부터 너를 소망하였고 내 출생 때부터 너를 의지하였사오니 내가 자라나면서부터 줄곧 너를 의지하였나이다
소망,우리 구주 하나님과 우리의 소망인 그리스도 예수의 명에 의하여 나는 사도 된 자라
소망,우리 주 예수 그리스도의 하나님과 아버지께 찬송을 드리며 그가 그의 큰 긍휼을 따라 예수 그리스도를 죽은 자 가운데서 다시 살리심으로 우리에게 산 소망을 주셨으니
소망,오직 여호와를 바라는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요 달려가도 피곤하지 아니하고 걸어가도 곤비하지 아니하리로다
소망,너희 마음의 눈을 밝히사 그의 부르심의 소망이 무엇이며 성도 안에서 그가 기업으로 삼으신 영광의 풍성함이 무엇을 알게 하시기를 구하노라
소망,그러므로 내 마음이 기쁘고 내 영혼이 즐거워하며 내 육체도 안전히 거하리니
소망,나의 간절한 기대와 소망은 아무 일에든지 부끄럽지 않게 하고 온전히 담대히 그리스도가 나의 몸에서 이제와 같이 존귀하게 되게 하는 것이라
소망,우리의 잠시 받는 가벼운 환난이 지극히 크고 영원한 영광을 우리에게 이루게 함이니
소망,우리는 성령 안에서 의의 소망을 기다리노니
소망,너희 중에 여호와를 두려워하며 그의 종의 말을 듣는 자가 누구냐 흑암 중에서 걷는 자는 누구냐 여호와의 이름을 의지하고 자기 하나님을 의지하는 자는 누구냐
소망,우리가 믿는 도리의 소망을 흔들리지 말고 고백하자 이는 약속하신 이가 믿실 것이기 때문이라
소망,우리의 시민권은 하늘에 있는지라 거기로부터 구원하는 자 곧 주 예수 그리스도를 기다리노니
소망,내 영혼이 주의 구원을 소망하나이다 내가 주의 말씀을 기다리나이다
소망,복되며 나타날 큰 하나님과 구주 예수 그리스도의 영광을 기다리며
소망,이는 소망을 따라 밭을 갈며 밭을 갈고 포도를 따는 자가 그 열매를 먹을 수 있는 것처럼
소망,오 내 영혼아 잠잠히 하나님만 바라라 내 소망이 그에게서 나는도다
소망,무엇이든지 전에 기록된 바는 우리의 교훈을 위하여 기록된 것이니 이는 성경을 통하여 인내와 소망을 가지게 하려 함이라
소망,너희는 여호와를 찾을 때 찾을 수 있도록 그를 부르라 가까이 계실 때 그를 부르라 불의한 자는 그의 길을 악한 자는 그의 생각을 버리고 여호와께로 돌아오라
소망,이스라엘아 여호와를 바랄지어다 여호와께는 인자하심이 있으며 풍성한 속죄가 있음이로다 그가 이스라엘을 그 모든 죄악에서 속량하시리로다
소망,사랑하는 자들아 이제 우리가 하나님의 자녀라 불리우는 것이 무엇인지 알지 못하나 그가 나타나시면 우리는 그와 같이 될 것을 아느니 이는 그를 볼 것이기 때문이라
소망,현재의 고난은 장차 우리에게 나타날 영광과 비교할 수 없도다
소망,이제 후로는 나를 위하여 의의 멸류관이 예비되어 있으니 주께서 의로우신 재판장이 그 날에 내게 주실 것이요 나뿐 아니라 주의 나타나심을 사모하는 모든 자에게 주실 것이라
소망,여호와의 눈은 그를 경외하는 자 곧 그의 인자하심을 바라는 자에게 임하나니 그들의 영혼을 사망에서 건지시며 기근에서 살리시리로다
소망,너희를 위하여 하늘에 예비된 소망을 바라며 그 소망을 너희에게 말한 바 진리의 말씀 곧 복음이 너희에게 이르렀으니
소망,내 영혼아 네가 어찌하여 낙심하며 어찌하여 내 속에서 불안해하는가 하나님을 바라라 내가 그를 다시 찬송하리니 그는 내 얼굴빛이요 내 하나님이시로다
소망,나는 항상 소망을 품고 더욱 주를 찬송하리이다
소망,그가 우리를 이 큰 죽음에서 건지셨고 또 건지실 것이며 우리가 그에게 소망을 두고 그가 다시 건지시기를 기다리느니라
소망,그 날에 사람들이 말하기를 보라 이는 우리의 하나님이라 우리가 기다렸던 그 하나님이라 그가 우리를 구원하셨도다
